RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,Year,AggressionScore,RKOOddsDec,RSubOddsDec,BKOOddsDec,BSubOddsDec,RedFinishingProb,BlueFinishingProb,RedStrikeGrapple,BlueStrikeGrapple,FightPace,SurvivabilityIndex,RedOddsDec,BlueOddsDec,Pred,Pblue,BettingEdgeIndex
Paul Craig,Volkan Oezdemir,125,-145,125,68.9655,2022-07-23,"London, England, United Kingdom",United Kingdom,Blue,FALSE,Light Heavyweight,MALE,3,2,0,0,4.79,0.48,0.1,0.56,0.33,3,5,23,1,0,2,0,3,0,0,5,Orthodox,187.96,190.5,205,0,5,1,2.45,0.46,1.6,1.68,0.2,4,4,23,0,0,0,0,2,6,0,8,Orthodox,190.5,193.04,185,34,32,2,-5,-1,-3,1,0,1,1,-6,-2.54,-2.54,-2,2.34,-1.5,-1.12,NA,9,8,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,900,380,200,1800,800,140,2022,0.9370266439430035,9,3,2.4,19,0.4444444444444444,0.4692982456140351,0.8,0.07216494845360824,0.1,1,2.25,1.6896551724137931,0.4444444444444444,0.5918367346938775,0.14739229024943312
Brian Ortega,Yair Rodriguez,-195,165,51.2821,165,2022-07-16,"Elmont, New York, USA",USA,Blue,FALSE,Featherweight,MALE,5,1,0,0,4.65,0.46,0.7,0.69,0.27,6,2,34,3,0,2,3,3,0,0,8,Orthodox,180.34,180.34,145,1,0,0,4.07,0.38,1.2,1.17,0.27,6,2,30,2,0,0,1,3,3,0,7,Switch,172.72,175.26,145,31,29,0,0,0,1,0,4,1,0,-3,7.62,5.08,-2,0.58,-0.5,-0.48,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Red,KO/TKO,NA,1,04:11:00,251,275,350,200,2200,550,350,2022,0.026596993576865856,6.5,3,4.5,23,0.48717948717948717,0.2657004830917874,0.7333333333333333,0.13725490196078433,0.41633333333333333,0.8366666666666667,1.5128205128205128,2.65,0.6610169491525424,0.37735849056603776,0.2836584585865046
Michelle Waterson-Gomez,Amanda Lemos,260,-315,260,31.746,2022-07-16,"Elmont, New York, USA",USA,Blue,FALSE,Women's Strawweight,FEMALE,3,1,0,0,3.16,0.54,0.8,0.9,0.63,5,2,12,1,0,1,1,2,1,0,5,Southpaw,162.56,165.1,115,1,0,0,3.42,0.46,0.6,1.39,0.33,4,5,41,0,0,2,2,0,4,0,8,Orthodox,160.02,157.48,115,36,35,0,0,1,-3,-3,-29,1,2,-3,2.54,7.62,-1,-0.26,0.2,-0.49,NA,11,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,SUB,Guillotine Choke,2,01:48:00,408,NA,-105,NA,1100,NA,240,2022,0.9968273171575148,NA,NA,3.4,12,NA,0.37745098039215685,NA,0.1791044776119403,0.24266666666666664,0.68,3.6,1.3174603174603174,0.2777777777777778,0.7590361445783133,0.48125836680053546
Li Jingliang,Muslim Salikhov,135,-155,135,64.5161,2022-07-16,"Elmont, New York, USA",USA,Red,FALSE,Welterweight,MALE,3,0,5,0,3.32,0.49,0,1.12,0.33,5,1,14,0,0,1,2,2,0,0,5,Orthodox,180.34,177.8,170,1,0,0,4.46,0.42,0,1.19,0.41,4,5,34,0,0,1,2,7,0,0,10,Orthodox,182.88,180.34,170,34,38,-1,5,1,-5,-4,-20,0,-5,0,-2.54,-2.54,4,-1.14,0,-0.07,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Punches,2,04:38:00,578,NA,150,NA,1200,NA,275,2022,0.9478464369215823,NA,NA,3.75,13,NA,0.3435897435897436,NA,0.1864406779661017,0.2048888888888889,0.9633333333333334,2.35,1.6451612903225805,0.425531914893617,0.607843137254902,0.182311222361285
Matt Schnell,Sumudaerji,220,-260,220,38.4615,2022-07-16,"Elmont, New York, USA",USA,Red,FALSE,Flyweight,MALE,3,0,3,0,4.64,0.54,0.6,0.29,1,3,1,9,0,0,0,2,1,0,0,3,Southpaw,172.72,182.88,125,1,0,0,4.23,0.38,1,0.59,0.44,4,4,18,0,0,2,1,0,2,0,5,Orthodox,172.72,177.8,125,32,26,-1,3,-1,-2,-3,-9,0,1,-2,0,5.08,-6,0.41,-0.4,-0.3,NA,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,Red,SUB,Triangle Choke,2,04:24:00,564,500,NA,600,NA,1600,NA,2022,0.9918374288468401,17,7,NA,NA,0.20168067226890757,NA,0.7272727272727273,NA,0.208,0.94,3.2,1.3846153846153846,0.3125,0.7222222222222222,0.4097222222222222
Shane Burgos,Charles Jourdain,-175,150,57.1429,150,2022-07-16,"Elmont, New York, USA",USA,Red,FALSE,Featherweight,MALE,3,0,2,1,5.48,0.48,0.5,0.35,0.23,2,3,21,0,0,0,1,2,1,0,4,Switch,175.26,175.26,145,0,1,0,7.4,0.52,0.4,0.43,0.44,3,3,28,0,0,1,3,2,1,0,7,Orthodox,180.34,190.5,145,31,26,0,1,-1,-3,0,-7,0,0,0,-5.08,-15.24,-5,-1.92,0.1,-0.08,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,M-DEC,NA,3,05:00:00,900,225,400,800,900,215,400,2022,0.03732688734412946,3.15,9,5,10,0.42857142857142855,0.30000000000000004,0.21182266009852216,0.3076923076923077,0.1,1,1.5714285714285714,2.5,0.6363636363636364,0.4,0.23636363636363633
Lauren Murphy,Miesha Tate,175,-205,175,48.7805,2022-07-16,"Elmont, New York, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,3,1,0,0,2.62,0.45,1.3,2.02,0.31,5,7,56,6,1,0,6,1,4,0,12,Orthodox,167.64,165.1,135,1,0,0,4.05,0.39,0.1,1.03,0.25,5,5,36,1,0,3,1,2,1,0,7,Orthodox,165.1,170.18,125,38,35,0,0,0,5,2,20,5,-1,3,2.54,-5.08,-3,-1.43,1.2,0.99,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,240,-105,1600,500,1200,900,2022,0.9781187290638694,13,17,10,6,0.13574660633484165,0.26666666666666666,0.42857142857142855,0.6428571428571429,0.1,1,2.75,1.4878048780487805,0.36363636363636365,0.6721311475409836,0.30849478390461993
Ricky Simon,Jack Shore,145,-170,145,58.8235,2022-07-16,"Elmont, New York, USA",USA,Red,FALSE,Bantamweight,MALE,3,0,5,0,3.75,0.58,0.7,3.1,0.38,5,0,14,0,0,1,2,0,2,0,5,Orthodox,172.72,180.34,145,0,4,0,2.99,0.43,0.3,5.2,0.44,4,2,26,0,0,2,3,1,2,0,8,Orthodox,167.64,175.26,135,29,27,0,1,1,-3,-2,-12,0,-1,0,5.08,5.08,-2,0.76,0.4,-2.1,NA,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,Red,SUB,Arm Triangle,2,03:28:00,508,200,120,1400,500,900,600,2022,0.958908721799535,10,15,7,6,0.16666666666666669,0.30952380952380953,0.391304347826087,0.5454545454545454,0.22044444444444444,0.8466666666666667,2.45,1.5882352941176472,0.4081632653061224,0.6296296296296295,0.22146636432350714
Dustin Jacoby,Da Woon Jung,105,-125,105,80,2022-07-16,"Elmont, New York, USA",USA,Red,FALSE,Light Heavyweight,MALE,3,0,4,1,3.49,0.43,0.2,1.9,0.5,2,0,11,0,0,0,1,2,1,0,4,Orthodox,193.04,198.12,205,0,6,1,5.5,0.47,0,0.36,0.25,3,2,23,0,0,0,4,2,0,0,6,Orthodox,190.5,193.04,205,34,28,0,-2,-1,-2,-2,-12,0,0,1,2.54,5.08,-6,-2.01,0.2,1.54,NA,NA,15,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Punch,1,03:13:00,193,250,275,2000,1200,300,240,2022,0.9088770389851438,4,21,3.4,13,0.2976190476190476,0.37104072398190047,0.13043478260869565,0.16666666666666666,0.43566666666666665,0.6433333333333333,2.05,1.8,0.48780487804878053,0.5555555555555556,0.06775067750677505
Jessica Penne,Emily Ducote,145,-170,145,58.8235,2022-07-16,"Elmont, New York, USA",USA,Blue,FALSE,Women's Strawweight,FEMALE,3,0,0,0,7.45,0.52,0,0.2,0.14,0,0,0,0,0,0,0,0,0,0,0,Orthodox,157.48,160.02,115,0,2,0,2.52,0.31,0.6,1.32,0.21,2,4,25,1,0,2,0,1,3,0,6,Orthodox,165.1,170.18,115,39,28,0,-2,-2,-6,-4,-25,-1,-1,-3,-7.62,-10.16,-11,4.93,-0.6,-1.12,NA,NA,14,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,275,150,450,650,2000,400,2022,0.958908721799535,21,5.5,5,7.5,0.22943722943722944,0.33333333333333337,0.8163265306122449,0.38095238095238093,0.1,1,2.45,1.5882352941176472,0.4081632653061224,0.6296296296296295,0.22146636432350714
Rafael Dos Anjos,Rafael Fiziev,180,-210,180,47.619,2022-07-09,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,5,0,5,0,4.9,0.51,0,0.29,0.4,5,1,14,0,0,0,3,2,0,0,5,Switch,172.72,180.34,155,0,2,0,3.48,0.47,0.6,1.95,0.35,5,11,96,4,0,1,11,4,4,0,20,Southpaw,172.72,177.8,170,37,29,0,3,0,-15,-10,-82,-4,-2,-4,0,2.54,-8,1.42,-0.6,-1.66,NA,10,7,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,Red,KO/TKO,Punch,5,00:18:00,1218,425,140,600,2200,850,225,2022,0.9801596942659225,9.5,7,3.25,23,0.24812030075187969,0.3511705685618729,0.5862068965517241,0.09278350515463918,0.031333333333333324,0.812,2.8,1.4761904761904763,0.35714285714285715,0.6774193548387096,0.3202764976958525
Israel Adesanya,Jared Cannonier,-540,420,18.5185,420,2022-07-02,"Las Vegas, Nevada, USA",USA,Red,TRUE,Middleweight,MALE,5,0,2,0,4.49,0.5,0,0.42,0.46,3,5,30,0,0,0,2,6,0,0,8,Switch,180.34,195.58,185,0,2,0,4,0.48,0.1,0.05,0.12,9,1,43,11,0,1,6,4,0,0,11,Switch,193.04,203.2,185,32,38,0,0,-6,-3,4,-13,-11,2,0,-12.7,-7.62,6,0.49,-0.1,0.37,NA,2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,5,05:00:00,1500,120,1100,1400,2500,130,650,2022,6.772414961977023e-5,2.3,15,7.5,26,0.5014492753623189,0.1717948717948718,0.08496732026143791,0.20634920634920634,0,1,1.1851851851851851,5.2,0.84375,0.1923076923076923,0.6514423076923077
Alexander Volkanovski,Max Holloway,-180,155,55.5556,155,2022-07-02,"Las Vegas, Nevada, USA",USA,Red,TRUE,Featherweight,MALE,5,0,2,0,7.17,0.48,0.3,0.25,0.53,13,6,80,8,0,1,7,9,2,0,19,Orthodox,180.34,175.26,145,0,11,0,6.16,0.56,0.2,1.78,0.37,11,0,37,8,0,1,6,4,0,0,11,Orthodox,167.64,180.34,145,33,30,0,-9,2,8,6,43,0,5,2,12.7,-5.08,-3,1.01,0.1,-1.53,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,Red,U-DEC,NA,5,05:00:00,1500,100,300,1600,2000,400,550,2022,0.03389516415917814,5,17,6.5,21,0.25882352941176473,0.20146520146520147,0.2,0.21568627450980393,0,1,1.5555555555555556,2.55,0.6428571428571428,0.3921568627450981,0.2507002801120447
Sean Strickland,Alex Pereira,-125,105,80,105,2022-07-02,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,3,0,2,0,5.23,0.63,0.3,0.17,1,2,0,5,5,0,0,1,1,0,0,2,Orthodox,193.04,200.66,205,0,6,0,6.01,0.42,0.2,0.78,0.64,6,3,43,2,0,3,5,3,1,0,12,Orthodox,185.42,193.04,185,31,34,0,-4,-4,-10,-3,-38,3,-2,-1,7.62,7.62,3,-0.78,0.1,-0.61,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Punches,1,02:36:00,156,240,500,800,2800,330,170,2022,0.09112296101485616,4.3,9,2.7,29,0.34366925064599485,0.40485312899106,0.2920353982300885,0.05723905723905724,0.448,0.52,1.8,2.05,0.5555555555555556,0.48780487804878053,0.06775067750677505
Brad Riddell,Jalin Turner,130,-150,130,66.6667,2022-07-02,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,4,0,5.6,0.48,1.1,0.79,0.55,4,2,13,0,0,0,0,4,2,0,6,Southpaw,190.5,195.58,155,1,0,0,4.71,0.53,0,1.77,0.36,4,1,15,0,0,1,3,0,0,0,4,Orthodox,170.18,180.34,155,30,27,-1,4,0,2,1,-2,0,4,2,20.32,15.24,-3,0.89,1.1,-0.98,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,SUB,Guillotine Choke,1,00:45:00,45,350,450,1800,600,300,150,2022,0.9426758241011313,4,19,2.5,7,0.3026315789473684,0.5428571428571429,0.14285714285714285,0.2,0.485,0.15,2.3,1.6666666666666665,0.4347826086956522,0.6000000000000001,0.16521739130434787
Brad Tavares,Dricus Du Plessis,145,-170,145,58.8235,2022-07-02,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,3,0,2,0,6.18,0.49,0.9,3.04,0.5,2,0,3,2,0,0,0,2,0,0,2,Switch,185.42,193.04,185,0,2,0,3.38,0.43,0,0.78,0.26,5,6,55,0,0,3,9,2,0,0,14,Orthodox,185.42,187.96,185,34,28,0,0,-3,-12,-6,-52,2,0,0,0,5.08,-6,2.8,0.9,2.26,NA,NA,12,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,225,400,2500,650,650,140,2022,0.958908721799535,7.5,26,2.4,7.5,0.1717948717948718,0.55,0.20634920634920634,0.17721518987341772,0.1,1,2.45,1.5882352941176472,0.4081632653061224,0.6296296296296295,0.22146636432350714
Uriah Hall,Andre Muniz,285,-345,285,28.9855,2022-07-02,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,3,0,6,0,1.97,0.5,1.2,4.23,0.5,6,0,10,0,0,0,2,0,4,0,6,Southpaw,185.42,198.12,185,1,0,0,3.23,0.48,0.1,0.54,0.38,4,8,42,1,0,1,1,8,0,0,10,Orthodox,182.88,200.66,185,37,32,-1,6,2,-4,-8,-32,-1,-8,4,2.54,-2.54,-5,-1.26,1.1,3.69,NA,13,9,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,1000,400,2800,-110,400,350,2022,0.9981670610575072,5,29,4.5,1.9090909090909092,0.23448275862068968,0.746031746031746,0.125,1,0.1,1,3.85,1.289855072463768,0.2597402597402597,0.7752808988764045,0.5155406391361448
Jessica Eye,Maycee Barber,260,-315,260,31.746,2022-07-02,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,0,2,0,4.7,0.53,0.1,1.44,0.43,4,2,20,0,0,1,1,4,0,0,6,Switch,165.1,165.1,125,3,0,0,3.86,0.37,0.5,0.58,0.4,3,9,45,1,0,2,2,1,0,0,5,Orthodox,167.64,167.64,125,35,24,-3,2,1,1,-7,-25,-1,3,0,-2.54,-2.54,-11,0.84,-0.4,0.86,NA,13,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,400,-150,1600,1100,1200,350,2022,0.9968273171575148,13,17,4.5,12,0.13574660633484165,0.3055555555555555,0.42857142857142855,0.2413793103448276,0.1,1,3.6,1.3174603174603174,0.2777777777777778,0.7590361445783133,0.48125836680053546
Arman Tsarukyan,Mateusz Gamrot,-240,200,41.6667,200,2022-06-25,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,5,0,3,0,3.23,0.5,0.1,5.25,0.35,3,1,8,0,0,0,0,2,1,0,3,Southpaw,177.8,177.8,155,0,5,0,3.79,0.48,0,3.25,0.37,5,1,15,0,0,0,3,2,0,0,5,Orthodox,170.18,182.88,155,25,31,0,-2,-2,-2,0,-7,0,0,1,7.62,-5.08,6,-0.56,0.1,2,NA,12,11,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,Red,U-DEC,NA,5,05:00:00,1500,165,475,500,1100,225,750,2022,0.012128434984274237,3.25,6,8.5,12,0.47435897435897434,0.20098039215686275,0.3103448275862069,0.40540540540540543,0,1,1.4166666666666667,3,0.7058823529411764,0.3333333333333333,0.3725490196078431
Neil Magny,Shavkat Rakhmonov,350,-435,350,22.9885,2022-06-25,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,3,0,3,0,4.12,0.61,1.8,1.49,0.29,3,0,4,0,0,0,0,1,2,0,3,Orthodox,185.42,195.58,170,0,2,0,3.44,0.46,0.2,2.15,0.4,7,7,72,0,0,2,11,5,1,0,19,Orthodox,190.5,203.2,170,34,27,0,1,-4,-16,-7,-68,0,-4,1,-5.08,-7.62,-7,0.68,1.6,-0.66,NA,15,10,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,Red,SUB,Guillotine Choke,2,04:58:00,598,500,300,2200,275,1400,120,2022,0.9996103998791612,15,23,2.2,3.75,0.11014492753623188,0.7212121212121212,0.3888888888888889,0.3037974683544304,0.20044444444444443,0.9966666666666667,4.5,1.2298850574712643,0.2222222222222222,0.8130841121495328,0.5908618899273106
Calvin Kattar,Josh Emmett,-280,235,35.7143,235,2022-06-18,"Austin, Texas, USA",USA,Blue,FALSE,Featherweight,MALE,5,0,4,0,4.04,0.36,0.1,0.91,0.37,4,2,25,1,0,1,4,3,0,0,8,Orthodox,167.64,177.8,145,0,1,0,4.76,0.39,0.1,0.39,0.29,2,3,31,0,0,0,3,4,0,0,7,Orthodox,180.34,182.88,145,34,37,0,3,2,1,-1,-6,1,-1,0,-12.7,-5.08,3,-0.72,0,0.52,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,Red,S-DEC,NA,5,05:00:00,1500,NA,450,NA,2000,NA,425,2022,0.005765965558924903,NA,NA,5.25,21,NA,0.23809523809523808,NA,0.17525773195876287,0,1,1.3571428571428572,3.35,0.7368421052631579,0.29850746268656714,0.4383346425765907
Glover Teixeira,Jiri Prochazka,185,-225,185,44.4444,2022-06-11,"Kallang, Singapore",Singapore,Blue,TRUE,Light Heavyweight,MALE,5,0,2,0,5.38,0.55,0.2,0.72,0.6,2,0,4,2,0,0,0,2,0,0,2,Orthodox,190.5,203.2,205,0,6,0,3.73,0.49,0.9,2.11,0.33,8,6,56,3,0,1,2,8,8,0,19,Orthodox,187.96,193.04,205,42,29,0,-4,-6,-17,-6,-52,-1,-6,-8,2.54,10.16,-13,1.65,-0.7,-1.39,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,SUB,Rear Naked Choke,5,04:32:00,1472,900,650,330,1600,800,-135,2022,0.9836975006285591,9,4.3,1.7407407407407407,17,0.34366925064599485,0.6332916145181477,0.7079646017699115,0,0.00311111111111112,0.9813333333333333,2.85,1.4444444444444444,0.3508771929824561,0.6923076923076923,0.34143049932523617
Valentina Shevchenko,Taila Santos,-630,450,15.873,450,2022-06-11,"Kallang, Singapore",Singapore,Red,TRUE,Women's Flyweight,FEMALE,5,0,4,0,3.39,0.48,1.1,2,0.76,4,1,16,0,0,0,4,0,1,0,5,Orthodox,167.64,172.72,125,0,8,0,3.28,0.52,0.4,2.56,0.63,8,2,46,10,0,1,4,4,2,0,11,Southpaw,165.1,167.64,125,34,28,0,-4,-4,-6,-1,-30,-10,-4,-1,2.54,5.08,-6,0.11,0.7,-0.56,NA,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,S-DEC,NA,5,05:00:00,1500,110,900,450,1800,180,1600,2022,2.039908727992137e-5,2.8,5.5,17,19,0.538961038961039,0.11145510835913312,0.2857142857142857,0.47058823529411764,0,1,1.1587301587301586,5.5,0.8630136986301371,0.18181818181818182,0.6811955168119552
Zhang Weili,Joanna Jedrzejczyk,-160,140,62.5,140,2022-06-11,"Kallang, Singapore",Singapore,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,6.28,0.48,0.1,0.27,0.62,8,4,55,10,0,1,7,2,0,0,10,Orthodox,167.64,165.1,115,2,0,0,5.66,0.53,0.5,2.51,0.46,5,2,19,7,0,1,2,1,1,0,5,Switch,162.56,160.02,115,32,34,-1,0,3,5,2,36,3,1,-1,5.08,5.08,2,0.62,-0.4,-2.24,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Spinning Back Fist,2,02:28:00,448,120,200,1200,2800,400,900,2022,0.04742587317756678,5,13,10,29,0.27692307692307694,0.13448275862068965,0.25,0.24324324324324326,0.23377777777777778,0.7466666666666667,1.625,2.4,0.6153846153846154,0.4166666666666667,0.19871794871794873
Alexander Volkov,Jairzinho Rozenstruik,-170,150,58.8235,150,2022-06-04,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,5,1,0,0,3.75,0.49,0,0,0,4,3,21,0,0,0,0,6,0,0,6,Orthodox,187.96,198.12,242,1,0,0,5.13,0.57,0.2,0.45,0.63,4,4,37,0,0,1,3,4,0,0,8,Orthodox,200.66,203.2,250,33,34,0,0,0,-2,-1,-16,0,2,0,-12.7,-5.08,1,-1.38,-0.2,-0.45,NA,8,7,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Punches,1,02:12:00,132,140,700,1400,3500,300,215,2022,0.039165722796764356,4,15,3.15,36,0.31666666666666665,0.34523809523809523,0.17647058823529413,0.05787348586810229,0.456,0.44,1.5882352941176472,2.5,0.6296296296296295,0.4,0.22962962962962952
Dan Ige,Movsar Evloev,310,-410,310,24.3902,2022-06-04,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,3,0,5,0,4.43,0.48,0.2,4.75,0.46,5,0,15,0,0,1,4,0,0,0,5,Orthodox,170.18,182.88,145,2,0,0,3.7,0.45,0.3,0.99,0.26,6,4,34,0,0,2,2,2,2,0,8,Orthodox,170.18,180.34,145,30,28,-2,5,-1,-3,-4,-19,0,-2,-2,0,2.54,-2,0.73,-0.1,3.76,NA,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,500,-200,2200,900,1000,600,2022,0.9992539711661633,11,23,7,10,0.13438735177865613,0.24285714285714285,0.3125,0.4,0.1,1,4.1,1.2439024390243902,0.24390243902439027,0.803921568627451,0.5600191296030608
