RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,Year,AggressionScore,RKOOddsDec,RSubOddsDec,BKOOddsDec,BSubOddsDec,RedFinishingProb,BlueFinishingProb,RedStrikeGrapple,BlueStrikeGrapple,FightPace,SurvivabilityIndex,RedOddsDec,BlueOddsDec,Pred,Pblue,BettingEdgeIndex
Petr Yan,Deiveson Figueiredo,-305,245,32.7869,245,2024-11-23,"Macau, China",China,Red,FALSE,Bantamweight,MALE,5,0,3,1,2.91,0.54,1.4,1.62,0.34,5,3,44,6,0,1,4,4,4,0,13,Orthodox,165.1,172.72,135,0,1,0,5.11,0.54,0.1,1.61,0.49,7,4,45,4,0,0,5,4,0,0,9,Switch,170.18,170.18,135,31,36,0,2,-2,4,-1,-1,2,0,4,-5.08,2.54,5,-2.2,1.3,0.01,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,Red,U-DEC,NA,5,05:00:00,1500,110,450,2000,1600,200,1000,2024,0.004070137715896128,3,21,11,17,0.38095238095238093,0.1497326203208556,0.09090909090909091,0.38461538461538464,0,1,1.3278688524590163,3.45,0.7530864197530864,0.2898550724637681,0.4632313472893183
Yan Xiaonan,Tabatha Ricci,-198,164,50.5051,164,2024-11-23,"Macau, China",China,Red,FALSE,Women's Strawweight,FEMALE,3,0,2,0,4.18,0.36,0.1,2.74,0.37,4,2,22,0,0,1,4,0,1,0,6,Orthodox,154.94,154.94,115,1,0,0,4.99,0.45,0,0.92,0.73,6,3,34,1,1,0,6,1,0,0,8,Orthodox,165.1,160.02,115,35,29,-1,2,-2,-2,-1,-12,-1,-1,1,-10.16,-5.08,-6,-0.81,0.1,1.82,NA,10,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,110,215,2000,1100,200,1800,2024,0.026084075146382935,3,21,19,12,0.38095238095238093,0.13596491228070173,0.09090909090909091,0.6206896551724138,0.1,1,1.5050505050505052,2.6399999999999997,0.6644295302013422,0.37878787878787884,0.28564165141346337
Volkan Oezdemir,Carlos Ulberg,215,-265,215,37.7358,2024-11-23,"Macau, China",China,Blue,FALSE,Light Heavyweight,MALE,3,0,6,0,7.2,0.56,0.2,0.72,0.75,6,1,13,0,0,0,1,5,1,0,7,Orthodox,193.04,195.58,205,0,2,0,4.95,0.48,0.1,0.5,0.29,3,6,31,1,0,2,1,4,1,0,8,Orthodox,187.96,190.5,205,35,34,0,4,3,-1,-5,-18,-1,1,0,5.08,5.08,-1,2.25,0.1,0.22,NA,10,8,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,500,240,1600,800,500,130,2024,0.9918374288468401,6,17,2.3,9,0.22549019607843135,0.5458937198067633,0.23809523809523808,0.13978494623655913,0.1,1,3.15,1.3773584905660377,0.31746031746031744,0.726027397260274,0.40856707979995655
Jon Jones,Stipe Miocic,-550,410,18.1818,410,2024-11-16,"New York City, New York, USA",USA,Red,TRUE,Heavyweight,MALE,5,1,0,0,4.67,0.52,0,1.74,0.34,6,4,46,8,0,0,5,9,0,0,14,Orthodox,193.04,203.2,240,0,18,0,4.38,0.58,0.5,1.89,0.45,18,1,74,16,0,1,9,5,6,0,21,Orthodox,193.04,213.36,248,37,42,1,-18,-12,-7,3,-28,-8,4,-6,0,-10.16,5,0.29,-0.5,-0.15,NA,8,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Spinning Back Kick,3,04:29:00,869,400,1400,200,3500,120,700,2024,6.772414961977023e-5,2.2,3,8,36,0.7878787878787878,0.1527777777777778,0.375,0.16666666666666666,0.10516666666666666,0.9655555555555555,1.1818181818181819,5.1,0.8461538461538461,0.19607843137254904,0.650075414781297
Charles Oliveira,Michael Chandler,-265,215,37.7358,215,2024-11-16,"New York City, New York, USA",USA,Red,FALSE,Lightweight,MALE,3,1,0,0,4.49,0.5,0.6,1.59,0.37,3,3,14,1,0,0,0,3,1,0,4,Orthodox,172.72,180.34,155,1,0,0,3.4,0.55,2.7,2.25,0.4,11,10,63,3,0,0,2,4,16,0,22,Orthodox,177.8,187.96,155,35,38,0,0,-8,-18,-7,-49,-2,-1,-15,-5.08,-7.62,3,1.09,-2.1,-0.66,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,Red,U-DEC,NA,5,05:00:00,1500,1200,1100,130,900,215,380,2024,0.008162571153159897,3.15,2.3,4.8,10,0.7522429261559697,0.30833333333333335,0.6231884057971014,0.296875,0,1,1.3773584905660377,3.15,0.726027397260274,0.31746031746031744,0.40856707979995655
Viviane Araujo,Karine Silva,235,-290,235,34.4828,2024-11-16,"New York City, New York, USA",USA,Red,FALSE,Women's Flyweight,FEMALE,3,0,5,0,3.04,0.38,1.9,2.79,0.5,5,0,8,0,0,0,1,0,4,0,5,Orthodox,165.1,170.18,125,1,0,0,4.04,0.47,0.7,1.86,0.43,2,5,35,0,0,0,5,1,0,0,6,Orthodox,162.56,172.72,125,37,30,-1,5,3,-1,-5,-27,0,-1,4,2.54,-2.54,-7,-1,1.2,0.93,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue,U-DEC,NA,3,05:00:00,900,300,100,2000,300,2000,750,2024,0.9947798743064417,21,21,8.5,4,0.09523809523809523,0.36764705882352944,0.5,0.7142857142857143,0.1,1,3.35,1.3448275862068966,0.29850746268656714,0.7435897435897436,0.4450822809031765
Jonathan Martinez,Marcus McGhee,-105,-115,95.2381,86.9565,2024-11-16,"New York City, New York, USA",USA,Blue,FALSE,Bantamweight,MALE,3,0,3,0,6.06,0.48,0.5,0.46,0.33,3,0,5,0,0,0,0,2,1,0,3,Orthodox,172.72,175.26,135,1,0,0,4.44,0.49,0.1,0.38,0.35,6,4,39,0,0,0,6,4,0,0,10,Southpaw,172.72,177.8,135,30,34,-1,3,-3,-7,-4,-34,0,-2,1,0,-2.54,4,1.62,0.4,0.08,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,215,250,1400,1400,500,225,2024,0.52497918747894,6,15,3.25,15,0.23333333333333334,0.37435897435897436,0.2631578947368421,0.13846153846153847,0.1,1,1.9523809523809523,1.8695652173913042,0.5121951219512195,0.5348837209302326,0.022688598979013097
Marcin Tybura,Jhonata Diniz,-105,-115,95.2381,86.9565,2024-11-16,"New York City, New York, USA",USA,Red,FALSE,Heavyweight,MALE,3,0,3,0,3.36,0.53,0,0,0,3,0,6,0,0,0,1,2,0,0,3,Orthodox,193.04,200.66,254,1,0,0,3.57,0.49,0.1,1.42,0.33,5,8,49,0,1,0,6,4,1,0,12,Orthodox,190.5,198.12,249,39,33,-1,3,-2,-9,-8,-43,0,-2,-1,2.54,2.54,-6,-0.21,-0.1,-1.42,NA,NA,9,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,NA,2,05:00:00,600,350,650,300,2200,450,165,2024,0.52497918747894,5.5,4,2.65,23,0.4318181818181818,0.42083675143560295,0.6,0.06976744186046512,0.19999999999999998,1,1.9523809523809523,1.8695652173913042,0.5121951219512195,0.5348837209302326,0.022688598979013097
Neil Magny,Carlos Prates,550,-800,550,12.5,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,5,0,4,0,4.39,0.57,0,0.44,1,4,0,7,0,0,0,0,4,0,0,4,Switch,185.42,198.12,170,1,0,0,3.43,0.46,0.2,2.12,0.38,7,11,88,0,0,4,10,6,2,0,22,Orthodox,190.5,203.2,170,37,31,-1,4,-3,-18,-11,-81,0,-2,-2,-5.08,-5.08,-6,0.96,-0.2,-1.68,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Punch,1,04:50:00,290,1100,800,1600,800,2000,-400,2024,0.999998629042793,21,17,1.25,9,0.10644257703081232,0.9111111111111112,0.5555555555555556,0,0.4033333333333333,0.9666666666666667,6.5,1.125,0.15384615384615385,0.8888888888888888,0.735042735042735
Luana Pinheiro,Gillian Robertson,360,-470,360,21.2766,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Strawweight,FEMALE,3,0,2,0,2.89,0.48,1,2.68,0.39,2,6,37,0,0,0,2,2,7,0,11,Orthodox,165.1,160.02,115,2,0,0,3.42,0.4,0.2,1.8,0.33,4,2,13,0,0,1,1,1,0,0,4,Orthodox,157.48,157.48,115,31,29,-2,2,-2,7,4,24,0,1,7,7.62,2.54,-2,-0.53,0.8,0.88,NA,14,13,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,600,250,2200,110,900,500,2024,0.9997515449181605,10,23,6,2.1,0.14347826086956522,0.6428571428571428,0.2903225806451613,0.819672131147541,0.1,1,4.6,1.2127659574468086,0.2173913043478261,0.8245614035087718,0.6071700991609457
