RedFighter,BlueFighter,AggressionScore,RedFinishingProb,BlueFinishingProb,RedStrikeGrapple,BlueStrikeGrapple,FightPace,SurvivabilityIndex,BettingEdgeIndex
Diego Ferreira,Mateusz Gamrot,0.9890130573694068,0.2111111111111111,0.4107142857142857,0.5294117647058824,0.2631578947368421,0.2208888888888889,0.8433333333333334,0.380952380952381
Raquel Pennington,Macy Chiasson,0.07585818002124355,0.2727272727272727,0.17261904761904762,0.6896551724137931,0.25925925925925924,0.2251111111111111,0.8116666666666666,0.1093518060366156
Charles Oliveira,Dustin Poirier,0.9168273035060777,0.41911764705882354,0.5314685314685315,0.7446808510638298,0.09090909090909091,0.13966666666666666,0.7355555555555555,0.08902691511387173
Amanda Nunes,Julianna Pena,1.1861120010657661e-8,0.8448637316561846,0.07796101949025487,0,0.56,0.2208888888888889,0.8433333333333334,0.7933673469387756
Geoff Neal,Santiago Ponzinibbio,0.9168273035060777,0.42245989304812837,0.34173669467787116,0.09859154929577464,0.10714285714285714,0.1,1,0.08902691511387173
Kai Kara-France,Cody Garbrandt,0.9370266439430035,NA,0.4238095238095238,NA,0.11392405063291139,0.433,0.67,0.14739229024943312
Josh Emmett,Dan Ige,0.08317269649392238,0.3254901960784314,0.21978021978021978,0.14666666666666667,0.3333333333333333,0.1,1,0.08902691511387173
Pedro Munhoz,Dominick Cruz,0.5,0.3194444444444444,0.16526610644257703,0.3220338983050847,0.2727272727272727,0.1,1,0
Augusto Sakai,Tai Tuivasa,0.9088770389851438,0.29914529914529914,0.4642857142857143,0.22580645161290322,0.06542056074766354,0.26088888888888884,0.5433333333333333,0.06775067750677505
Rob Font,Jose Aldo,0.08317269649392238,0.35238095238095235,0.24064171122994654,0.15151515151515152,0.21951219512195122,0,1,0.08902691511387173
Brad Riddell,Rafael Fiziev,0.9088770389851438,0.22943722943722944,0.2698412698412698,0.1836734693877551,0.14893617021276595,0.12666666666666665,0.8222222222222222,0.06775067750677505
Jimmy Crute,Jamahal Hill,0.026596993576865856,0.5743589743589743,0.3375959079283888,0.55,0.09836065573770492,0.484,0.16,0.2836584585865046
Ketlen Vieira,Miesha Tate,0.9002495108803148,0.3151515151515152,0.25,0.5909090909090909,0.5,0,1,0.045454545454545414
Michael Chiesa,Sean Brady,0.9706877692486436,0.23333333333333334,0.4318181818181818,0.7368421052631579,0.6,0.1,1,0.27055702917771896
Joanne Wood,Taila Santos,0.9994188962656985,0.10526315789473684,0.3484848484848485,0.5,0.47368421052631576,0.4036666666666667,0.9633333333333334,0.5714285714285714
Max Holloway,Yair Rodriguez,1.0129990980873921e-5,0.4754901960784314,0.11868686868686869,0.08045977011494253,0.2222222222222222,0,1,0.697054698457223
Song Yadong,Julio Arce,0.06297335605699649,0.19047619047619047,0.2967032967032967,0.23076923076923078,0.4782608695652174,0.24555555555555555,0.6583333333333333,0.14739229024943312
Thiago Moises,Joel Alvarez,0.012742349464111609,0.3484848484848485,0.225,0.5263157894736842,0.5625,0.43966666666666665,0.6033333333333334,0.3668993020937188
Cynthia Calvillo,Andrea Lee,0.09975048911968513,0.2,0.19090909090909092,0.6829268292682927,0.47368421052631576,0.19999999999999998,1,0.045454545454545414
Kamaru Usman,Colby Covington,0.0033348073074133443,0.48333333333333334,0.17261904761904762,0.12,0.25925925925925924,0,1,0.47619047619047616
Rose Namajunas,Zhang Weili,0.9002495108803148,0.36507936507936506,0.37662337662337664,0.3684210526315789,0.2,0,1,0.045454545454545414
Frankie Edgar,Marlon Vera,0.9706877692486436,0.16993464052287582,0.40384615384615385,0.3333333333333333,0.35294117647058826,0.11166666666666666,0.9222222222222223,0.27055702917771896
Shane Burgos,Billy Quarantillo,0.039165722796764356,0.3941176470588236,0.25,0.21052631578947367,0.3125,0.1,1,0.22962962962962952
Justin Gaethje,Michael Chandler,0.020836344518680425,0.6121212121212121,0.2727272727272727,0,0.3103448275862069,0.1,1,0.313782991202346
Edmen Shahbazyan,Nassourdine Imavov,0.9002495108803148,0.35757575757575755,0.4107142857142857,0.21568627450980393,0.2631578947368421,0.20177777777777775,0.9866666666666667,0.045454545454545414
Jan Blachowicz,Glover Teixeira,0.008162571153159897,0.5531135531135531,0.2426470588235294,0.08396946564885496,0.4827586206896552,0.2262222222222222,0.8033333333333333,0.40856707979995655
