RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,Year
Alexander Volkov,Jairzinho Rozenstruik,-170,150,58.8235,150,2022-06-04,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,5,1,0,0,3.75,0.49,0,0,0,4,3,21,0,0,0,0,6,0,0,6,Orthodox,187.96,198.12,242,1,0,0,5.13,0.57,0.2,0.45,0.63,4,4,37,0,0,1,3,4,0,0,8,Orthodox,200.66,203.2,250,33,34,0,0,0,-2,-1,-16,0,2,0,-12.7,-5.08,1,-1.38,-0.2,-0.45,NA,8,7,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Punches,1,2:12,132,140,700,1400,3500,300,215,2022
Dan Ige,Movsar Evloev,310,-410,310,24.3902,2022-06-04,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,5,0,4.43,0.48,0.2,4.75,0.46,5,0,15,0,0,1,4,0,0,0,5,Orthodox,170.18,182.88,145,2,0,0,3.7,0.45,0.3,0.99,0.26,6,4,34,0,0,2,2,2,2,0,8,Orthodox,170.18,180.34,145,30,28,-2,5,-1,-3,-4,-19,0,-2,-2,0,2.54,-2,0.73,-0.1,3.76,NA,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,Red,U-DEC,,3,5:00,900,500,-200,2200,900,1000,600,2022
Holly Holm,Ketlen Vieira,-220,180,45.4545,180,2022-05-21,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,5,0,1,0,3.04,0.41,0.6,1.51,0.44,4,2,23,0,0,2,3,0,1,0,6,Orthodox,172.72,172.72,135,0,2,0,3.13,0.4,0.1,0.87,0.3,3,5,43,5,0,1,4,2,0,0,7,Southpaw,172.72,175.26,135,40,30,0,-1,1,-1,-3,-20,-5,-2,1,0,-2.54,-10,-0.09,0.5,0.64,NA,5,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,S-DEC,,5,5:00,1500,-115,380,2200,800,330,1200,2022
Santiago Ponzinibbio,Michel Pereira,125,-145,125,68.9655,2022-05-21,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,4,0,5.16,0.54,0.8,1.53,0.55,4,2,19,0,0,0,3,1,1,0,5,Orthodox,185.42,185.42,185,1,0,0,4.74,0.41,0,0.59,0.32,7,4,32,0,0,0,5,5,0,0,10,Orthodox,182.88,185.42,170,35,28,-1,4,-3,-5,-2,-13,0,-4,1,2.54,0,-7,0.42,0.8,0.94,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,S-DEC,,3,5:00,900,240,165,1600,1000,450,350,2022
Ryan Spann,Ion Cutelaba,195,-240,195,41.6667,2022-05-14,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,3,0,1,1,4.44,0.43,0,4.17,0.57,2,5,22,0,0,0,2,3,0,0,5,Southpaw,185.42,190.5,205,1,0,0,3.25,0.4,1.5,1.34,0.35,5,3,14,0,0,1,1,2,2,0,6,Orthodox,195.58,200.66,205,30,28,-1,1,-3,-1,2,8,0,1,-2,-10.16,-10.16,-2,1.19,-1.5,2.83,NA,NA,13,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,SUB,Guillotine Choke,1,2:22,142,600,NA,900,NA,400,NA,2022
Katlyn Chookagian,Amanda Ribas,-180,155,55.5556,155,2022-05-14,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,1,0,4.63,0.4,0.7,2.07,0.51,4,1,14,0,0,0,3,0,2,0,5,Orthodox,160.02,167.64,125,0,3,0,4.58,0.34,0.3,0.31,0.15,3,4,40,1,0,1,9,0,0,0,10,Orthodox,175.26,172.72,125,33,28,0,-2,1,-5,-3,-26,-1,0,2,-15.24,-5.08,-5,0.05,0.4,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,neither,S-DEC,,3,5:00,900,110,240,1200,800,450,1200,2022
Viviane Araujo,Andrea Lee,115,-135,115,74.0741,2022-05-14,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,2,0,4.71,0.46,0.6,1.7,0.55,3,3,22,0,0,0,3,1,1,0,5,Orthodox,167.64,175.26,125,1,0,0,4.11,0.47,0.6,1.76,0.4,2,2,18,0,0,0,3,1,0,0,4,Orthodox,162.56,172.72,125,35,33,-1,2,1,1,1,4,0,0,1,5.08,2.54,-2,0.6,0,-0.06,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue,U-DEC,,3,5:00,900,175,130,1100,1200,750,700,2022
Virna Jandiroba,Angela Hill,-225,185,44.4444,185,2022-05-14,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,2,0,0,5.46,0.49,0.1,0.76,0.32,3,11,54,0,0,0,6,2,0,0,8,Orthodox,160.02,162.56,115,1,0,0,2.12,0.38,1.7,2.29,0.34,2,3,14,0,0,0,0,1,2,0,3,Orthodox,160.02,162.56,115,33,37,1,0,1,5,8,40,0,1,-2,0,0,4,3.34,-1.6,-1.53,NA,13,12,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,,3,5:00,900,140,225,250,3500,1000,1000,2022
Charles Oliveira,Justin Gaethje,-130,110,76.9231,110,2022-05-07,"Phoenix, Arizona, USA",USA,Red,False,Lightweight,MALE,5,0,1,0,6.78,0.59,0,0.11,0.25,4,3,22,2,0,0,1,5,0,0,6,Orthodox,180.34,177.8,155,0,10,0,3.39,0.53,2.8,2.17,0.4,10,8,56,3,0,0,2,3,15,0,20,Orthodox,177.8,187.96,155,32,33,0,-9,-6,-14,-5,-34,-1,2,-15,2.54,-10.16,1,3.39,-2.8,-2.06,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Red,SUB,Rear Naked Choke,1,3:22,202,550,800,140,2500,700,165,2022
Rose Namajunas,Carla Esparza,-235,190,42.5532,190,2022-05-07,"Phoenix, Arizona, USA",USA,Blue,True,Women's Strawweight,FEMALE,5,0,5,0,2.16,0.4,0.3,3.22,0.35,5,4,37,3,1,2,4,1,1,0,9,Orthodox,154.94,160.02,115,0,3,0,3.7,0.42,0.4,1.55,0.53,3,3,34,6,0,2,2,2,3,0,9,Orthodox,165.1,165.1,125,29,34,0,2,2,0,1,3,-3,-1,-2,-10.16,-5.08,5,-1.54,-0.1,1.67,NA,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Red,S-DEC,,5,5:00,1500,150,260,550,1200,300,1200,2022
Michael Chandler,Tony Ferguson,-350,270,28.5714,270,2022-05-07,"Phoenix, Arizona, USA",USA,Red,False,Lightweight,MALE,3,3,0,0,4.91,0.45,0.9,0.39,0.35,12,4,46,3,0,1,3,5,6,0,15,Orthodox,180.34,193.04,170,2,0,0,4.89,0.46,0.9,2.17,0.38,3,2,9,1,0,0,0,2,1,0,3,Orthodox,172.72,180.34,155,36,38,1,0,9,12,2,37,2,3,5,7.62,12.7,2,0.02,0,-1.78,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,Red,KO/TKO,Kick,2,0:17,317,215,550,800,1300,100,900,2022
Macy Chiasson,Norma Dumont,180,-220,180,45.4545,2022-05-07,"Phoenix, Arizona, USA",USA,Red,False,Women's Featherweight,FEMALE,3,0,3,0,3.11,0.49,0,1.91,0.68,3,1,12,0,0,1,2,0,0,0,3,Orthodox,170.18,170.18,135,1,0,0,3.77,0.46,0.4,2.37,0.38,3,2,16,1,0,0,2,2,1,0,5,Orthodox,180.34,182.88,135,30,31,-1,3,0,-2,-1,-4,-1,-2,-1,-10.16,-12.7,1,-0.66,-0.4,-0.46,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,neither,S-DEC,,3,5:00,900,330,110,1800,500,700,450,2022
Brandon Royval,Matt Schnell,-260,210,38.4615,210,2022-05-07,"Phoenix, Arizona, USA",USA,Red,False,Flyweight,MALE,3,0,1,0,4.23,0.38,1,0.59,0.44,4,3,17,0,0,2,1,0,2,0,5,Orthodox,172.72,177.8,125,0,1,0,4.33,0.36,1.1,0.47,0.6,2,2,10,1,0,1,0,0,2,0,3,Southpaw,175.26,172.72,125,29,32,0,0,2,2,1,7,-1,0,0,-2.54,5.08,3,-0.1,-0.1,0.12,NA,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,Red,SUB,Guillotine Choke,1,2:14,134,330,400,140,800,350,1000,2022
Blagoy Ivanov,Marcos Rogerio de Lima,-155,135,64.5161,135,2022-05-07,"Phoenix, Arizona, USA",USA,Red,False,Heavyweight,MALE,3,0,2,0,3.7,0.57,0.5,1.4,0.45,2,6,22,0,0,0,2,5,1,0,8,Orthodox,185.42,190.5,253,2,0,0,3.25,0.4,0.1,0.69,0.4,2,3,17,0,0,0,2,0,0,0,2,Southpaw,180.34,185.42,250,35,36,-2,2,0,6,3,5,0,5,1,5.08,5.08,1,0.45,0.4,0.71,NA,NA,15,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,,3,5:00,900,250,500,475,1000,250,250,2022
Rob Font,Marlon Vera,-105,-115,95.2381,86.9565,2022-04-30,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,5,0,2,0,4.27,0.49,0.8,0.51,0.39,5,6,44,1,0,0,2,6,4,0,12,Switch,172.72,177.8,135,1,0,0,5.53,0.45,0.3,0.89,0.35,4,4,32,0,0,0,3,5,1,0,9,Orthodox,172.72,180.34,135,34,29,-1,2,1,3,2,12,1,1,3,0,-2.54,-5,-1.26,0.5,-0.38,NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,Red,U-DEC,,5,5:00,1500,150,275,1500,550,400,400,2022
Amanda Lemos,Jessica Andrade,190,-235,190,42.5532,2022-04-23,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,5,0,1,0,6.62,0.5,0.3,2.37,0.55,4,7,43,4,0,1,5,5,2,0,13,Orthodox,154.94,157.48,125,0,5,0,3.16,0.54,0.8,0.9,0.63,5,1,11,1,0,1,1,2,1,0,5,Southpaw,162.56,165.1,115,34,30,0,-4,-1,8,6,32,3,3,1,-7.62,-7.62,-4,3.46,-0.5,1.47,NA,NA,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,SUB,Arm Triangle,1,3:13,193,650,275,1400,550,350,150,2022
Maycee Barber,Montana De La Rosa,-180,155,55.5556,155,2022-04-23,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,1,1,2.9,0.37,0.8,1.85,0.33,3,2,20,0,0,0,1,1,3,0,5,Orthodox,170.18,172.72,125,0,1,0,4.7,0.53,0.1,1.44,0.43,4,2,17,0,0,1,0,4,0,0,5,Switch,165.1,165.1,125,23,27,0,0,-1,0,0,3,0,-3,3,5.08,7.62,4,-1.8,0.7,0.41,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,,3,5:00,900,130,240,1000,800,350,1800,2022
Vicente Luque,Belal Muhammad,-180,155,55.5556,155,2022-04-16,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,5,0,6,0,4.39,0.43,0.2,2.28,0.39,6,3,42,1,0,1,8,1,1,0,11,Orthodox,180.34,182.88,170,0,4,0,5.07,0.52,0.6,1,0.53,6,3,32,0,0,1,0,8,5,0,14,Orthodox,180.34,190.5,170,30,33,0,2,0,-3,0,10,1,-7,-4,0,-7.62,3,-0.68,-0.4,1.28,NA,6,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,Red,U-DEC,,5,5:00,1500,350,250,350,1000,240,900,2022
Lina Lansberg,Pannie Kianzad,385,-525,385,19.0476,2022-04-16,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,1,0,0,4.88,0.49,0.1,0.41,0.33,4,3,20,1,0,0,4,0,0,0,4,Orthodox,170.18,167.64,135,1,0,0,2.69,0.55,0.1,0.52,0.27,2,4,22,0,0,0,4,0,0,0,4,Orthodox,170.18,165.1,135,40,30,0,0,2,0,-1,-2,1,0,0,0,2.54,-10,2.19,0,-0.11,NA,12,11,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,,3,5:00,900,500,-200,2500,1000,1800,400,2022
Alexander Volkanovski,Chan Sung Jung,-600,435,16.6667,435,2022-04-09,"Jacksonville, Florida, USA",USA,Red,True,Featherweight,MALE,5,0,1,0,3.93,0.41,0.6,0.7,0.44,3,5,34,1,0,0,1,4,2,0,7,Orthodox,170.18,182.88,145,0,10,0,6.16,0.56,0.2,1.78,0.37,10,0,33,8,0,1,6,3,0,0,10,Orthodox,167.64,180.34,145,33,35,0,-9,-7,-3,5,1,-7,1,2,2.54,2.54,2,-2.23,0.4,-1.08,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,Red,KO/TKO,Punches,4,0:45,945,-120,1600,1000,1800,165,900,2022
Aljamain Sterling,Petr Yan,310,-410,310,24.3902,2022-04-09,"Jacksonville, Florida, USA",USA,Red,True,Bantamweight,MALE,5,0,1,0,5.14,0.53,0.1,1.73,0.51,7,1,29,3,0,0,4,4,0,0,8,Switch,170.18,170.18,135,0,6,0,4.61,0.52,0.7,2.31,0.27,6,3,40,4,0,0,6,1,4,0,12,Orthodox,170.18,180.34,145,32,29,0,-5,1,-4,-2,-11,-1,3,-4,0,-10.16,-3,0.53,-0.6,-0.58,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,Red,S-DEC,,5,5:00,1500,700,140,1000,1000,1600,140,2022
Gilbert Burns,Khamzat Chimaev,375,-510,375,19.6078,2022-04-09,"Jacksonville, Florida, USA",USA,Blue,False,Welterweight,MALE,3,0,4,0,5.72,0.58,2.7,3.99,0.46,4,0,5,0,0,0,0,2,2,0,4,Orthodox,187.96,190.5,185,0,1,0,3.29,0.48,0.5,2.24,0.38,6,4,42,1,0,0,6,3,4,0,13,Orthodox,177.8,180.34,170,35,27,0,3,-2,-9,-4,-37,-1,-1,-2,10.16,10.16,-8,2.43,2.2,1.75,NA,11,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,Red,U-DEC,,3,5:00,900,800,380,1400,275,1100,110,2022
Mackenzie Dern,Tecia Torres,-125,105,80,105,2022-04-09,"Jacksonville, Florida, USA",USA,Red,False,Women's Strawweight,FEMALE,3,0,3,0,4.78,0.47,0.1,0.61,0.14,3,5,39,0,0,0,7,1,1,0,9,Orthodox,154.94,152.4,115,1,0,0,3.43,0.39,1.2,0.88,0.16,4,2,18,0,0,1,1,0,4,0,6,Orthodox,162.56,160.02,115,29,32,-1,3,-1,3,3,21,0,1,-3,-7.62,-7.62,3,1.35,-1.1,-0.27,NA,7,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,S-DEC,,3,5:00,900,350,120,200,2500,1200,1100,2022
Aspen Ladd,Raquel Pennington,135,-155,135,64.5161,2022-04-09,"Jacksonville, Florida, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,3,0,4.14,0.52,0.7,0.9,0.27,4,5,43,2,0,2,5,0,3,0,10,Orthodox,170.18,170.18,135,1,0,0,3.78,0.47,0.6,1.56,0.47,3,2,15,0,0,0,1,3,0,0,4,Orthodox,167.64,167.64,135,27,33,-1,3,1,6,3,28,2,-3,3,2.54,2.54,6,0.36,0.1,-0.66,NA,7,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,,3,5:00,900,240,-105,1600,700,800,900,2022
Curtis Blaydes,Chris Daukaus,-600,435,16.6667,435,2022-03-26,"Columbus, Ohio, USA",USA,Red,False,Heavyweight,MALE,5,1,0,0,6.05,0.5,0,0,0,4,1,6,0,0,0,0,4,0,0,4,Orthodox,190.5,193.04,205,0,1,0,3.54,0.5,0,5.69,0.53,5,3,35,1,0,0,5,5,0,0,10,Orthodox,193.04,203.2,265,31,32,1,-1,-1,-6,-2,-29,-1,-1,0,-2.54,-10.16,1,2.51,0,-5.69,NA,9,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Punch,2,0:17,317,240,1600,800,1600,-120,500,2022
Joanne Wood,Alexa Grasso,240,-305,240,32.7869,2022-03-26,"Columbus, Ohio, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,2,0,4.67,0.43,0.6,0.41,0.45,2,3,22,2,0,1,4,0,0,0,5,Orthodox,165.1,167.64,125,2,0,0,7.1,0.51,0.3,1.52,0.55,2,7,32,0,0,1,4,1,1,0,7,Orthodox,167.64,165.1,125,36,28,-2,2,0,-2,-4,-10,2,-1,-1,-2.54,2.54,-8,-2.43,0.3,-1.11,NA,9,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,SUB,Rear Naked Choke,1,3:57,237,NA,-140,NA,700,NA,550,2022
Askar Askarov,Kai Kara-France,-450,340,22.2222,340,2022-03-26,"Columbus, Ohio, USA",USA,Blue,False,Flyweight,MALE,3,0,2,0,4.56,0.39,0,0.61,0.33,3,2,19,1,0,1,3,2,0,0,6,Orthodox,162.56,175.26,125,0,3,1,3.05,0.54,0.4,2.6,0.24,3,0,12,0,0,0,3,0,0,0,3,Orthodox,167.64,170.18,125,29,29,0,-1,0,3,2,7,1,2,0,-5.08,5.08,0,1.51,-0.4,-1.99,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,Red,U-DEC,,3,5:00,900,-135,650,330,2200,700,700,2022
Neil Magny,Max Griffin,-280,225,35.7143,225,2022-03-26,"Columbus, Ohio, USA",USA,Red,False,Welterweight,MALE,3,0,3,0,3.92,0.49,0.3,1.45,0.41,3,6,32,0,1,0,2,3,0,0,6,Orthodox,180.34,193.04,170,0,1,0,3.44,0.46,0.2,2.15,0.4,7,7,69,0,0,1,11,5,1,0,18,Orthodox,190.5,203.2,170,34,36,0,2,-4,-12,-1,-37,0,-2,-1,-10.16,-10.16,2,0.48,0.1,-0.7,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,S-DEC,,3,5:00,900,-120,475,700,1500,450,650,2022
Sara McMann,Karol Rosa,220,-275,220,36.3636,2022-03-26,"Columbus, Ohio, USA",USA,Red,False,Women's Bantamweight,FEMALE,3,0,4,0,6.49,0.56,0,1.2,0.46,4,0,12,0,0,1,3,0,0,0,4,Orthodox,165.1,170.18,135,1,0,0,2.26,0.46,0.5,4.38,0.65,5,6,37,1,0,1,5,1,3,0,10,Orthodox,167.64,167.64,135,41,27,-1,4,-1,-6,-6,-25,-1,-1,-3,-2.54,2.54,-14,4.23,-0.5,-3.18,NA,12,9,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,,3,5:00,900,350,120,700,450,1400,400,2022
Jennifer Maia,Manon Fiorot,375,-510,375,19.6078,2022-03-26,"Columbus, Ohio, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,3,0,6.26,0.41,0,1.17,0.42,3,0,7,0,0,0,1,2,0,0,3,Orthodox,170.18,165.1,125,1,0,0,4.35,0.38,0.1,0.42,0.27,2,4,24,1,0,0,3,0,1,0,4,Orthodox,162.56,162.56,125,33,32,-1,3,1,-1,-4,-17,-1,2,-1,7.62,2.54,-1,1.91,-0.1,0.75,NA,13,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,,3,5:00,900,550,-135,1600,1800,2000,215,2022
Matheus Nicolau,David Dvorak,105,-125,105,80,2022-03-26,"Columbus, Ohio, USA",USA,Red,False,Flyweight,MALE,3,0,3,0,3.48,0.43,0.2,0.58,0.3,3,0,7,0,0,0,2,0,1,0,3,Orthodox,165.1,172.72,125,0,2,0,3.62,0.52,0.8,1.38,0.45,3,1,16,0,0,2,2,0,1,0,5,Orthodox,167.64,167.64,125,29,29,0,1,0,-2,-1,-9,0,0,0,-2.54,5.08,0,-0.14,-0.6,-0.8,NA,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,Red,U-DEC,,3,5:00,900,215,150,600,650,800,650,2022
Alexander Volkov,Tom Aspinall,115,-135,115,74.0741,2022-03-19,"London, England, United Kingdom",United Kingdom,Blue,False,Heavyweight,MALE,5,0,4,0,8.07,0.67,1.6,3.27,1,4,0,5,2,0,0,0,3,1,0,4,Orthodox,195.58,198.12,256,0,1,0,5.13,0.57,0.2,0.45,0.63,4,3,36,0,0,1,3,4,0,0,8,Orthodox,200.66,203.2,250,33,28,0,3,0,-4,-3,-31,2,-1,1,-5.08,-5.08,-5,2.94,1.4,2.82,NA,11,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,Red,SUB,Straight Armbar,1,3:45,225,300,400,1200,800,300,180,2022
Arnold Allen,Dan Hooker,-110,-110,90.9091,90.9091,2022-03-19,"London, England, United Kingdom",United Kingdom,Red,False,Featherweight,MALE,3,1,0,0,5.03,0.48,0.3,0.73,0.34,4,7,42,0,0,1,2,6,2,0,11,Switch,182.88,190.5,155,0,8,0,3.45,0.41,0.3,0.93,0.47,8,0,24,0,0,1,5,0,2,0,8,Southpaw,172.72,177.8,145,28,32,1,-8,-4,3,7,18,0,6,0,10.16,12.7,4,1.58,0,-0.2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,Red,KO/TKO,Punches,1,2:33,153,180,200,900,1200,450,400,2022
Jai Herbert,Ilia Topuria,435,-600,435,16.6667,2022-03-19,"London, England, United Kingdom",United Kingdom,Blue,False,Lightweight,MALE,3,0,3,0,4.4,0.46,1.3,1.92,0.56,3,0,5,1,0,0,1,2,0,0,3,Orthodox,170.18,175.26,145,0,1,0,3.16,0.42,0,0.5,0.23,1,2,6,0,0,0,0,1,0,0,1,Orthodox,185.42,195.58,155,33,25,0,2,2,2,-2,-1,1,1,0,-15.24,-20.32,-8,1.24,1.3,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,neither,KO/TKO,Punch,2,1:07,367,1000,550,4000,110,750,165,2022
