RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,Year
Petr Yan,Deiveson Figueiredo,-305,245,32.7869,245,2024-11-23,"Macau, China",China,Red,False,Bantamweight,MALE,5,0,3,1,2.91,0.54,1.4,1.62,0.34,5,3,44,6,0,1,4,4,4,0,13,Orthodox,165.1,172.72,135,0,1,0,5.11,0.54,0.1,1.61,0.49,7,4,45,4,0,0,5,4,0,0,9,Switch,170.18,170.18,135,31,36,0,2,-2,4,-1,-1,2,0,4,-5.08,2.54,5,-2.2,1.3,0.01,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,Red,U-DEC,,5,5:00,1500,110,450,2000,1600,200,1000,2024
Yan Xiaonan,Tabatha Ricci,-198,164,50.5051,164,2024-11-23,"Macau, China",China,Red,False,Women's Strawweight,FEMALE,3,0,2,0,4.18,0.36,0.1,2.74,0.37,4,2,22,0,0,1,4,0,1,0,6,Orthodox,154.94,154.94,115,1,0,0,4.99,0.45,0,0.92,0.73,6,3,34,1,1,0,6,1,0,0,8,Orthodox,165.1,160.02,115,35,29,-1,2,-2,-2,-1,-12,-1,-1,1,-10.16,-5.08,-6,-0.81,0.1,1.82,NA,10,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,,3,5:00,900,110,215,2000,1100,200,1800,2024
Volkan Oezdemir,Carlos Ulberg,215,-265,215,37.7358,2024-11-23,"Macau, China",China,Blue,False,Light Heavyweight,MALE,3,0,6,0,7.2,0.56,0.2,0.72,0.75,6,1,13,0,0,0,1,5,1,0,7,Orthodox,193.04,195.58,205,0,2,0,4.95,0.48,0.1,0.5,0.29,3,6,31,1,0,2,1,4,1,0,8,Orthodox,187.96,190.5,205,35,34,0,4,3,-1,-5,-18,-1,1,0,5.08,5.08,-1,2.25,0.1,0.22,NA,10,8,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,,3,5:00,900,500,240,1600,800,500,130,2024
Jon Jones,Stipe Miocic,-550,410,18.1818,410,2024-11-16,"New York City, New York, USA",USA,Red,True,Heavyweight,MALE,5,1,0,0,4.67,0.52,0,1.74,0.34,6,4,46,8,0,0,5,9,0,0,14,Orthodox,193.04,203.2,240,0,18,0,4.38,0.58,0.5,1.89,0.45,18,1,74,16,0,1,9,5,6,0,21,Orthodox,193.04,213.36,248,37,42,1,-18,-12,-7,3,-28,-8,4,-6,0,-10.16,5,0.29,-0.5,-0.15,NA,8,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Spinning Back Kick,3,4:29,869,400,1400,200,3500,120,700,2024
Charles Oliveira,Michael Chandler,-265,215,37.7358,215,2024-11-16,"New York City, New York, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,4.49,0.5,0.6,1.59,0.37,3,3,14,1,0,0,0,3,1,0,4,Orthodox,172.72,180.34,155,1,0,0,3.4,0.55,2.7,2.25,0.4,11,10,63,3,0,0,2,4,16,0,22,Orthodox,177.8,187.96,155,35,38,0,0,-8,-18,-7,-49,-2,-1,-15,-5.08,-7.62,3,1.09,-2.1,-0.66,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,Red,U-DEC,,5,5:00,1500,1200,1100,130,900,215,380,2024
Viviane Araujo,Karine Silva,235,-290,235,34.4828,2024-11-16,"New York City, New York, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,5,0,3.04,0.38,1.9,2.79,0.5,5,0,8,0,0,0,1,0,4,0,5,Orthodox,165.1,170.18,125,1,0,0,4.04,0.47,0.7,1.86,0.43,2,5,35,0,0,0,5,1,0,0,6,Orthodox,162.56,172.72,125,37,30,-1,5,3,-1,-5,-27,0,-1,4,2.54,-2.54,-7,-1,1.2,0.93,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue,U-DEC,,3,5:00,900,300,100,2000,300,2000,750,2024
Jonathan Martinez,Marcus McGhee,-105,-115,95.2381,86.9565,2024-11-16,"New York City, New York, USA",USA,Blue,False,Bantamweight,MALE,3,0,3,0,6.06,0.48,0.5,0.46,0.33,3,0,5,0,0,0,0,2,1,0,3,Orthodox,172.72,175.26,135,1,0,0,4.44,0.49,0.1,0.38,0.35,6,4,39,0,0,0,6,4,0,0,10,Southpaw,172.72,177.8,135,30,34,-1,3,-3,-7,-4,-34,0,-2,1,0,-2.54,4,1.62,0.4,0.08,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,,3,5:00,900,215,250,1400,1400,500,225,2024
Marcin Tybura,Jhonata Diniz,-105,-115,95.2381,86.9565,2024-11-16,"New York City, New York, USA",USA,Red,False,Heavyweight,MALE,3,0,3,0,3.36,0.53,0,0,0,3,0,6,0,0,0,1,2,0,0,3,Orthodox,193.04,200.66,254,1,0,0,3.57,0.49,0.1,1.42,0.33,5,8,49,0,1,0,6,4,1,0,12,Orthodox,190.5,198.12,249,39,33,-1,3,-2,-9,-8,-43,0,-2,-1,2.54,2.54,-6,-0.21,-0.1,-1.42,NA,NA,9,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,,2,5:00,600,350,650,300,2200,450,165,2024
Neil Magny,Carlos Prates,550,-800,550,12.5,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,5,0,4,0,4.39,0.57,0,0.44,1,4,0,7,0,0,0,0,4,0,0,4,Switch,185.42,198.12,170,1,0,0,3.43,0.46,0.2,2.12,0.38,7,11,88,0,0,4,10,6,2,0,22,Orthodox,190.5,203.2,170,37,31,-1,4,-3,-18,-11,-81,0,-2,-2,-5.08,-5.08,-6,0.96,-0.2,-1.68,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Punch,1,4:50,290,1100,800,1600,800,2000,-400,2024
Luana Pinheiro,Gillian Robertson,360,-470,360,21.2766,2024-11-09,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,2,0,2.89,0.48,1,2.68,0.39,2,6,37,0,0,0,2,2,7,0,11,Orthodox,165.1,160.02,115,2,0,0,3.42,0.4,0.2,1.8,0.33,4,2,13,0,0,1,1,1,0,0,4,Orthodox,157.48,157.48,115,31,29,-2,2,-2,7,4,24,0,1,7,7.62,2.54,-2,-0.53,0.8,0.88,NA,14,13,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,,3,5:00,900,600,250,2200,110,900,500,2024
